message,label
Your account has been compromised. Verify now: 4936,fraud
You have an unpaid invoice of $729. Pay now: http://bit.ly/3216,fraud
Congratulations! You won $4831. Click here to claim: http://bit.ly/9806,fraud
You have an unpaid invoice of $3645. Pay now: http://bit.ly/2392,fraud
Your bill of $2250 is due on September.,safe
Win a new iPhone! Click 1856 to enter.,fraud
You received a prize of $836. Visit http://bit.ly/8986 to claim it.,fraud
Account suspension notice! Click 2758 to reactivate.,fraud
You have an unpaid invoice of $4314. Pay now: http://bit.ly/7656,fraud
You are selected for a loan of $3238. Apply here: http://bit.ly/5257,fraud
Confirm your password immediately: 422,fraud
Reminder: Your appointment is scheduled for 1760.,safe
Reminder: Your appointment is scheduled for 2126.,safe
Payment of $1897 was successfully processed.,safe
Reminder: Your appointment is scheduled for 1915.,safe
Win a new iPhone! Click 1217 to enter.,fraud
Your order #7678 has been shipped.,safe
Your OTP is 4673. Please do not share it with anyone.,safe
You received a prize of $3493. Visit http://bit.ly/3666 to claim it.,fraud
Thank you for your payment of $5767.,safe
Urgent! Your credit card will be blocked. Action required: 1422,fraud
Your account statement for 9067 is now available.,safe
Payment of $8207 was successfully processed.,safe
Your account has been compromised. Verify now: 3704,fraud
Account suspension notice! Click 4375 to reactivate.,fraud
Your bill of $9185 is due on October.,safe
You are selected for a loan of $3386. Apply here: http://bit.ly/5784,fraud
Your order #3168 has been shipped.,safe
Reminder: Your appointment is scheduled for 6581.,safe
Win a new iPhone! Click 4457 to enter.,fraud
Thank you for your payment of $774.,safe
Your account has been compromised. Verify now: 1287,fraud
Your subscription for 7542 has been renewed.,safe
Your subscription for 598 has been renewed.,safe
Your package with tracking number 1619 is in transit.,safe
Confirm your password immediately: 1594,fraud
Account suspension notice! Click 2566 to reactivate.,fraud
Your OTP is 255. Please do not share it with anyone.,safe
Reminder: Your appointment is scheduled for 9549.,safe
You received a prize of $3252. Visit http://bit.ly/9663 to claim it.,fraud
Your package with tracking number 5988 is in transit.,safe
Your bank account ending with 8368 has been credited with $December.,safe
Congratulations! You won $4656. Click here to claim: http://bit.ly/2238,fraud
Your package with tracking number 6290 is in transit.,safe
Account suspension notice! Click 4872 to reactivate.,fraud
Thank you for your payment of $1042.,safe
Your subscription for 7351 has been renewed.,safe
Your subscription for 1716 has been renewed.,safe
Win a new iPhone! Click 3822 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 1205,fraud
Thank you for your payment of $4932.,safe
Congratulations! You won $1653. Click here to claim: http://bit.ly/7213,fraud
Your bank account ending with 9161 has been credited with $November.,safe
Your order #5482 has been shipped.,safe
Account suspension notice! Click 2094 to reactivate.,fraud
Thank you for your payment of $2097.,safe
Your order #883 has been shipped.,safe
You have an unpaid invoice of $771. Pay now: http://bit.ly/5101,fraud
Unauthorized login attempt detected. Verify your account: 4977,fraud
Your package with tracking number 851 is in transit.,safe
Account suspension notice! Click 3848 to reactivate.,fraud
Win a new iPhone! Click 1862 to enter.,fraud
You received a prize of $4053. Visit http://bit.ly/7097 to claim it.,fraud
Payment of $723 was successfully processed.,safe
Win a new iPhone! Click 4918 to enter.,fraud
Confirm your password immediately: 1936,fraud
Your account has been compromised. Verify now: 4579,fraud
Urgent! Your credit card will be blocked. Action required: 658,fraud
You are selected for a loan of $1494. Apply here: http://bit.ly/9444,fraud
Thank you for your payment of $4066.,safe
Reminder: Your appointment is scheduled for 9271.,safe
Your package with tracking number 4896 is in transit.,safe
Your OTP is 7754. Please do not share it with anyone.,safe
Win a new iPhone! Click 850 to enter.,fraud
Your bank account ending with 2063 has been credited with $November.,safe
Your package with tracking number 6299 is in transit.,safe
Your order #1698 has been shipped.,safe
Your account has been compromised. Verify now: 1765,fraud
Confirm your password immediately: 2319,fraud
Urgent! Your credit card will be blocked. Action required: 694,fraud
Payment of $9134 was successfully processed.,safe
Your package with tracking number 3157 is in transit.,safe
Your package with tracking number 7338 is in transit.,safe
Your OTP is 9952. Please do not share it with anyone.,safe
Confirm your password immediately: 2787,fraud
Reminder: Your appointment is scheduled for 8930.,safe
You received a prize of $4358. Visit http://bit.ly/1260 to claim it.,fraud
Your account statement for 901 is now available.,safe
Account suspension notice! Click 3832 to reactivate.,fraud
Your OTP is 9352. Please do not share it with anyone.,safe
Your account statement for 2709 is now available.,safe
Your OTP is 1280. Please do not share it with anyone.,safe
Your bank account ending with 4917 has been credited with $November.,safe
Congratulations! You won $4630. Click here to claim: http://bit.ly/5251,fraud
Your bank account ending with 3431 has been credited with $October.,safe
Your account statement for 2367 is now available.,safe
Your subscription for 8674 has been renewed.,safe
You received a prize of $1687. Visit http://bit.ly/6433 to claim it.,fraud
You received a prize of $2169. Visit http://bit.ly/3057 to claim it.,fraud
You received a prize of $2277. Visit http://bit.ly/6011 to claim it.,fraud
You received a prize of $3239. Visit http://bit.ly/9796 to claim it.,fraud
Your subscription for 3975 has been renewed.,safe
Payment of $6711 was successfully processed.,safe
Congratulations! You won $2250. Click here to claim: http://bit.ly/5069,fraud
Payment of $6054 was successfully processed.,safe
You are selected for a loan of $1956. Apply here: http://bit.ly/9443,fraud
Your account has been compromised. Verify now: 3530,fraud
Your subscription for 3046 has been renewed.,safe
Your subscription for 5943 has been renewed.,safe
Payment of $2916 was successfully processed.,safe
Your OTP is 9068. Please do not share it with anyone.,safe
Unauthorized login attempt detected. Verify your account: 2735,fraud
Account suspension notice! Click 2156 to reactivate.,fraud
Unauthorized login attempt detected. Verify your account: 4316,fraud
Reminder: Your appointment is scheduled for 7343.,safe
Account suspension notice! Click 2253 to reactivate.,fraud
Congratulations! You won $2341. Click here to claim: http://bit.ly/8813,fraud
Your subscription for 9041 has been renewed.,safe
Your account has been compromised. Verify now: 1798,fraud
Your package with tracking number 2622 is in transit.,safe
Your OTP is 7288. Please do not share it with anyone.,safe
Confirm your password immediately: 3171,fraud
Your bank account ending with 3399 has been credited with $August.,safe
Your bank account ending with 6039 has been credited with $October.,safe
Congratulations! You won $2603. Click here to claim: http://bit.ly/2018,fraud
Your bank account ending with 9029 has been credited with $October.,safe
Urgent! Your credit card will be blocked. Action required: 1995,fraud
Your OTP is 8728. Please do not share it with anyone.,safe
Payment of $161 was successfully processed.,safe
Confirm your password immediately: 4177,fraud
Reminder: Your appointment is scheduled for 4623.,safe
Thank you for your payment of $3479.,safe
Confirm your password immediately: 2248,fraud
Your bank account ending with 4204 has been credited with $September.,safe
Your OTP is 755. Please do not share it with anyone.,safe
Your package with tracking number 6196 is in transit.,safe
Payment of $311 was successfully processed.,safe
Reminder: Your appointment is scheduled for 2680.,safe
Win a new iPhone! Click 128 to enter.,fraud
Your account statement for 7980 is now available.,safe
Your package with tracking number 1998 is in transit.,safe
Your order #5261 has been shipped.,safe
Payment of $4994 was successfully processed.,safe
Payment of $2425 was successfully processed.,safe
You are selected for a loan of $3214. Apply here: http://bit.ly/9200,fraud
Confirm your password immediately: 2613,fraud
Your subscription for 5439 has been renewed.,safe
Congratulations! You won $4075. Click here to claim: http://bit.ly/6384,fraud
Thank you for your payment of $1703.,safe
Urgent! Your credit card will be blocked. Action required: 3033,fraud
Your subscription for 3063 has been renewed.,safe
Your order #5434 has been shipped.,safe
Congratulations! You won $4707. Click here to claim: http://bit.ly/1091,fraud
Payment of $6999 was successfully processed.,safe
Your bank account ending with 288 has been credited with $November.,safe
Payment of $5428 was successfully processed.,safe
Account suspension notice! Click 178 to reactivate.,fraud
Payment of $3135 was successfully processed.,safe
Your account has been compromised. Verify now: 3932,fraud
You are selected for a loan of $4111. Apply here: http://bit.ly/5515,fraud
Payment of $9447 was successfully processed.,safe
Thank you for your payment of $8096.,safe
Your account has been compromised. Verify now: 2119,fraud
Thank you for your payment of $1421.,safe
Thank you for your payment of $4695.,safe
Win a new iPhone! Click 4321 to enter.,fraud
Win a new iPhone! Click 2943 to enter.,fraud
You have an unpaid invoice of $4343. Pay now: http://bit.ly/3918,fraud
Thank you for your payment of $432.,safe
Your bill of $8170 is due on August.,safe
Your subscription for 8519 has been renewed.,safe
You have an unpaid invoice of $4446. Pay now: http://bit.ly/5471,fraud
Your package with tracking number 3385 is in transit.,safe
Your bill of $6458 is due on September.,safe
Congratulations! You won $1658. Click here to claim: http://bit.ly/9130,fraud
You received a prize of $873. Visit http://bit.ly/2493 to claim it.,fraud
Account suspension notice! Click 3026 to reactivate.,fraud
Your bank account ending with 899 has been credited with $October.,safe
Urgent! Your credit card will be blocked. Action required: 4784,fraud
Your account has been compromised. Verify now: 3053,fraud
Your package with tracking number 2464 is in transit.,safe
Account suspension notice! Click 4062 to reactivate.,fraud
Your package with tracking number 5448 is in transit.,safe
Your package with tracking number 2066 is in transit.,safe
Your account has been compromised. Verify now: 3690,fraud
You have an unpaid invoice of $4105. Pay now: http://bit.ly/3490,fraud
Congratulations! You won $2477. Click here to claim: http://bit.ly/2476,fraud
Your order #8677 has been shipped.,safe
Reminder: Your appointment is scheduled for 4026.,safe
Reminder: Your appointment is scheduled for 4171.,safe
Your account has been compromised. Verify now: 2449,fraud
Thank you for your payment of $649.,safe
Your order #6217 has been shipped.,safe
Your order #5545 has been shipped.,safe
Unauthorized login attempt detected. Verify your account: 525,fraud
You are selected for a loan of $2709. Apply here: http://bit.ly/9146,fraud
Reminder: Your appointment is scheduled for 4927.,safe
Your account statement for 7099 is now available.,safe
Your bank account ending with 9230 has been credited with $October.,safe
Unauthorized login attempt detected. Verify your account: 456,fraud
Unauthorized login attempt detected. Verify your account: 1683,fraud
Your account has been compromised. Verify now: 3673,fraud
Unauthorized login attempt detected. Verify your account: 2786,fraud
Your OTP is 508. Please do not share it with anyone.,safe
You received a prize of $3578. Visit http://bit.ly/2203 to claim it.,fraud
Unauthorized login attempt detected. Verify your account: 3949,fraud
Your OTP is 9642. Please do not share it with anyone.,safe
Congratulations! You won $500. Click here to claim: http://bit.ly/5726,fraud
Your OTP is 8889. Please do not share it with anyone.,safe
Confirm your password immediately: 4727,fraud
Win a new iPhone! Click 1054 to enter.,fraud
Your account statement for 528 is now available.,safe
Your subscription for 1105 has been renewed.,safe
Your account statement for 495 is now available.,safe
Congratulations! You won $3579. Click here to claim: http://bit.ly/4798,fraud
You received a prize of $658. Visit http://bit.ly/1583 to claim it.,fraud
Your package with tracking number 8089 is in transit.,safe
Win a new iPhone! Click 1257 to enter.,fraud
Your bill of $359 is due on December.,safe
Congratulations! You won $3453. Click here to claim: http://bit.ly/8784,fraud
Thank you for your payment of $9958.,safe
Congratulations! You won $4900. Click here to claim: http://bit.ly/3013,fraud
Your package with tracking number 5771 is in transit.,safe
Your bill of $9366 is due on December.,safe
You have an unpaid invoice of $4444. Pay now: http://bit.ly/1547,fraud
Payment of $496 was successfully processed.,safe
Your OTP is 5031. Please do not share it with anyone.,safe
Your bank account ending with 2378 has been credited with $November.,safe
You are selected for a loan of $1165. Apply here: http://bit.ly/2696,fraud
Your package with tracking number 7353 is in transit.,safe
Thank you for your payment of $4383.,safe
Reminder: Your appointment is scheduled for 1592.,safe
Unauthorized login attempt detected. Verify your account: 4577,fraud
Win a new iPhone! Click 3836 to enter.,fraud
Thank you for your payment of $3955.,safe
You have an unpaid invoice of $929. Pay now: http://bit.ly/8634,fraud
Your package with tracking number 5179 is in transit.,safe
Your account statement for 1856 is now available.,safe
You have an unpaid invoice of $288. Pay now: http://bit.ly/6124,fraud
Account suspension notice! Click 126 to reactivate.,fraud
You are selected for a loan of $2812. Apply here: http://bit.ly/9521,fraud
Unauthorized login attempt detected. Verify your account: 4838,fraud
Reminder: Your appointment is scheduled for 8451.,safe
Payment of $1407 was successfully processed.,safe
Your account has been compromised. Verify now: 3158,fraud
You have an unpaid invoice of $4790. Pay now: http://bit.ly/1289,fraud
Congratulations! You won $3197. Click here to claim: http://bit.ly/3804,fraud
Your package with tracking number 7375 is in transit.,safe
Your bank account ending with 1027 has been credited with $December.,safe
You have an unpaid invoice of $4184. Pay now: http://bit.ly/1308,fraud
Unauthorized login attempt detected. Verify your account: 231,fraud
You received a prize of $3870. Visit http://bit.ly/3265 to claim it.,fraud
Reminder: Your appointment is scheduled for 6138.,safe
Your bank account ending with 1945 has been credited with $October.,safe
Your bill of $1234 is due on December.,safe
Win a new iPhone! Click 883 to enter.,fraud
You have an unpaid invoice of $4995. Pay now: http://bit.ly/1495,fraud
Your bank account ending with 7597 has been credited with $December.,safe
Congratulations! You won $1975. Click here to claim: http://bit.ly/1772,fraud
Congratulations! You won $4927. Click here to claim: http://bit.ly/7691,fraud
Congratulations! You won $3461. Click here to claim: http://bit.ly/4783,fraud
Urgent! Your credit card will be blocked. Action required: 1475,fraud
Reminder: Your appointment is scheduled for 4781.,safe
Thank you for your payment of $8640.,safe
You are selected for a loan of $2874. Apply here: http://bit.ly/2138,fraud
Your account statement for 3222 is now available.,safe
Your bank account ending with 6657 has been credited with $December.,safe
Your account statement for 4028 is now available.,safe
Win a new iPhone! Click 3158 to enter.,fraud
Your account statement for 648 is now available.,safe
Thank you for your payment of $1845.,safe
Your account has been compromised. Verify now: 1686,fraud
You are selected for a loan of $1691. Apply here: http://bit.ly/1022,fraud
Reminder: Your appointment is scheduled for 9709.,safe
Your subscription for 7295 has been renewed.,safe
Reminder: Your appointment is scheduled for 6318.,safe
Your order #6768 has been shipped.,safe
Your order #6079 has been shipped.,safe
Thank you for your payment of $9449.,safe
Your bill of $5481 is due on August.,safe
Account suspension notice! Click 1349 to reactivate.,fraud
Your bank account ending with 2707 has been credited with $October.,safe
Your order #2642 has been shipped.,safe
Your account has been compromised. Verify now: 487,fraud
Your bank account ending with 3210 has been credited with $August.,safe
Your subscription for 9111 has been renewed.,safe
Your OTP is 1227. Please do not share it with anyone.,safe
Your subscription for 7488 has been renewed.,safe
Your subscription for 2935 has been renewed.,safe
Thank you for your payment of $6799.,safe
Reminder: Your appointment is scheduled for 6557.,safe
Your order #5569 has been shipped.,safe
Unauthorized login attempt detected. Verify your account: 4920,fraud
Your OTP is 6503. Please do not share it with anyone.,safe
You are selected for a loan of $2305. Apply here: http://bit.ly/8298,fraud
Payment of $4681 was successfully processed.,safe
Account suspension notice! Click 1331 to reactivate.,fraud
Unauthorized login attempt detected. Verify your account: 2375,fraud
Your bank account ending with 9090 has been credited with $August.,safe
Your bank account ending with 5944 has been credited with $December.,safe
Your package with tracking number 9598 is in transit.,safe
Your subscription for 3006 has been renewed.,safe
Unauthorized login attempt detected. Verify your account: 3116,fraud
Your bill of $3232 is due on September.,safe
Thank you for your payment of $1385.,safe
Payment of $1702 was successfully processed.,safe
Unauthorized login attempt detected. Verify your account: 2621,fraud
Your bill of $1993 is due on November.,safe
Congratulations! You won $1431. Click here to claim: http://bit.ly/5455,fraud
Your OTP is 4121. Please do not share it with anyone.,safe
You have an unpaid invoice of $652. Pay now: http://bit.ly/4788,fraud
Your account statement for 4065 is now available.,safe
Reminder: Your appointment is scheduled for 5712.,safe
Account suspension notice! Click 1318 to reactivate.,fraud
Your package with tracking number 7891 is in transit.,safe
Win a new iPhone! Click 1857 to enter.,fraud
You have an unpaid invoice of $2166. Pay now: http://bit.ly/7769,fraud
Your bank account ending with 562 has been credited with $November.,safe
Confirm your password immediately: 4655,fraud
Win a new iPhone! Click 3043 to enter.,fraud
You are selected for a loan of $4627. Apply here: http://bit.ly/4731,fraud
You received a prize of $834. Visit http://bit.ly/3229 to claim it.,fraud
Your subscription for 4969 has been renewed.,safe
Your package with tracking number 1964 is in transit.,safe
You received a prize of $2634. Visit http://bit.ly/7517 to claim it.,fraud
Urgent! Your credit card will be blocked. Action required: 3996,fraud
You are selected for a loan of $177. Apply here: http://bit.ly/1451,fraud
Your bank account ending with 3947 has been credited with $November.,safe
Your bill of $3573 is due on October.,safe
Your account has been compromised. Verify now: 131,fraud
Your account statement for 2163 is now available.,safe
Unauthorized login attempt detected. Verify your account: 587,fraud
You received a prize of $2260. Visit http://bit.ly/8515 to claim it.,fraud
Thank you for your payment of $9536.,safe
Your order #5379 has been shipped.,safe
Congratulations! You won $2211. Click here to claim: http://bit.ly/7000,fraud
Win a new iPhone! Click 1418 to enter.,fraud
Your bank account ending with 4432 has been credited with $September.,safe
Reminder: Your appointment is scheduled for 1010.,safe
You have an unpaid invoice of $1345. Pay now: http://bit.ly/9722,fraud
Account suspension notice! Click 3241 to reactivate.,fraud
You received a prize of $4776. Visit http://bit.ly/8682 to claim it.,fraud
Your order #9461 has been shipped.,safe
Payment of $2161 was successfully processed.,safe
You are selected for a loan of $952. Apply here: http://bit.ly/2944,fraud
Payment of $1906 was successfully processed.,safe
Urgent! Your credit card will be blocked. Action required: 761,fraud
Your account statement for 9965 is now available.,safe
Unauthorized login attempt detected. Verify your account: 486,fraud
You have an unpaid invoice of $4652. Pay now: http://bit.ly/3424,fraud
You received a prize of $4007. Visit http://bit.ly/1267 to claim it.,fraud
Your account statement for 411 is now available.,safe
Your package with tracking number 7159 is in transit.,safe
Your bank account ending with 9086 has been credited with $November.,safe
Your OTP is 8796. Please do not share it with anyone.,safe
You received a prize of $3516. Visit http://bit.ly/6156 to claim it.,fraud
Your account statement for 4755 is now available.,safe
Urgent! Your credit card will be blocked. Action required: 4716,fraud
Thank you for your payment of $4634.,safe
Urgent! Your credit card will be blocked. Action required: 3527,fraud
You have an unpaid invoice of $516. Pay now: http://bit.ly/7254,fraud
Your OTP is 1522. Please do not share it with anyone.,safe
Your package with tracking number 6354 is in transit.,safe
Thank you for your payment of $9041.,safe
Your account has been compromised. Verify now: 871,fraud
Confirm your password immediately: 1016,fraud
Urgent! Your credit card will be blocked. Action required: 194,fraud
Unauthorized login attempt detected. Verify your account: 3891,fraud
Confirm your password immediately: 2729,fraud
Your account statement for 6091 is now available.,safe
You are selected for a loan of $1495. Apply here: http://bit.ly/6756,fraud
You have an unpaid invoice of $3591. Pay now: http://bit.ly/4387,fraud
Account suspension notice! Click 3768 to reactivate.,fraud
Payment of $1109 was successfully processed.,safe
Your bank account ending with 8201 has been credited with $August.,safe
You have an unpaid invoice of $2793. Pay now: http://bit.ly/2155,fraud
Your order #8018 has been shipped.,safe
Thank you for your payment of $7788.,safe
Payment of $5075 was successfully processed.,safe
You received a prize of $1734. Visit http://bit.ly/2433 to claim it.,fraud
Your order #1945 has been shipped.,safe
Your account has been compromised. Verify now: 1967,fraud
Unauthorized login attempt detected. Verify your account: 3134,fraud
You are selected for a loan of $2054. Apply here: http://bit.ly/5502,fraud
You are selected for a loan of $3817. Apply here: http://bit.ly/4736,fraud
Your bank account ending with 683 has been credited with $August.,safe
Unauthorized login attempt detected. Verify your account: 3750,fraud
Your account statement for 1369 is now available.,safe
Win a new iPhone! Click 4525 to enter.,fraud
Your account has been compromised. Verify now: 4747,fraud
Payment of $3382 was successfully processed.,safe
Account suspension notice! Click 762 to reactivate.,fraud
Confirm your password immediately: 109,fraud
Your account statement for 6745 is now available.,safe
Your subscription for 2988 has been renewed.,safe
Your order #5239 has been shipped.,safe
Unauthorized login attempt detected. Verify your account: 1271,fraud
Your subscription for 9016 has been renewed.,safe
Your subscription for 4307 has been renewed.,safe
Your package with tracking number 9405 is in transit.,safe
Your account has been compromised. Verify now: 3207,fraud
Account suspension notice! Click 974 to reactivate.,fraud
Your package with tracking number 7658 is in transit.,safe
Urgent! Your credit card will be blocked. Action required: 2258,fraud
Congratulations! You won $2393. Click here to claim: http://bit.ly/3809,fraud
Your package with tracking number 3446 is in transit.,safe
Your account has been compromised. Verify now: 3830,fraud
Your bank account ending with 1804 has been credited with $October.,safe
Your bank account ending with 9627 has been credited with $November.,safe
Your subscription for 428 has been renewed.,safe
Your bank account ending with 4541 has been credited with $December.,safe
You are selected for a loan of $2919. Apply here: http://bit.ly/2115,fraud
Your package with tracking number 1807 is in transit.,safe
Your order #5231 has been shipped.,safe
Account suspension notice! Click 827 to reactivate.,fraud
Your bank account ending with 5852 has been credited with $November.,safe
Reminder: Your appointment is scheduled for 8220.,safe
Your account has been compromised. Verify now: 3365,fraud
Account suspension notice! Click 4777 to reactivate.,fraud
Confirm your password immediately: 1342,fraud
Account suspension notice! Click 1262 to reactivate.,fraud
Confirm your password immediately: 3125,fraud
Your account has been compromised. Verify now: 2357,fraud
Unauthorized login attempt detected. Verify your account: 4733,fraud
Reminder: Your appointment is scheduled for 6156.,safe
Your account statement for 494 is now available.,safe
Your subscription for 6663 has been renewed.,safe
Your account has been compromised. Verify now: 1361,fraud
Your subscription for 2056 has been renewed.,safe
You have an unpaid invoice of $4418. Pay now: http://bit.ly/3927,fraud
Thank you for your payment of $752.,safe
Payment of $3903 was successfully processed.,safe
You have an unpaid invoice of $4857. Pay now: http://bit.ly/8425,fraud
Congratulations! You won $1096. Click here to claim: http://bit.ly/2354,fraud
Win a new iPhone! Click 1682 to enter.,fraud
Your OTP is 7506. Please do not share it with anyone.,safe
Your order #2878 has been shipped.,safe
You are selected for a loan of $3472. Apply here: http://bit.ly/6811,fraud
Urgent! Your credit card will be blocked. Action required: 849,fraud
Your OTP is 3234. Please do not share it with anyone.,safe
You have an unpaid invoice of $2500. Pay now: http://bit.ly/9170,fraud
Your bill of $1511 is due on September.,safe
Your subscription for 1829 has been renewed.,safe
Your bill of $3820 is due on November.,safe
Your account statement for 6799 is now available.,safe
You have an unpaid invoice of $3839. Pay now: http://bit.ly/8503,fraud
Confirm your password immediately: 741,fraud
Your OTP is 9742. Please do not share it with anyone.,safe
Reminder: Your appointment is scheduled for 4413.,safe
Your order #7124 has been shipped.,safe
Your package with tracking number 4554 is in transit.,safe
Your order #6257 has been shipped.,safe
Your OTP is 4436. Please do not share it with anyone.,safe
Payment of $7845 was successfully processed.,safe
Your bank account ending with 8140 has been credited with $October.,safe
Your bill of $7522 is due on September.,safe
Thank you for your payment of $6616.,safe
Account suspension notice! Click 3620 to reactivate.,fraud
Your OTP is 8641. Please do not share it with anyone.,safe
Reminder: Your appointment is scheduled for 975.,safe
Reminder: Your appointment is scheduled for 5340.,safe
Win a new iPhone! Click 2588 to enter.,fraud
Your account has been compromised. Verify now: 3281,fraud
Your account statement for 8831 is now available.,safe
Account suspension notice! Click 254 to reactivate.,fraud
Payment of $5691 was successfully processed.,safe
Your order #7443 has been shipped.,safe
Payment of $5792 was successfully processed.,safe
Your bill of $4045 is due on October.,safe
You have an unpaid invoice of $3277. Pay now: http://bit.ly/6351,fraud
Confirm your password immediately: 4784,fraud
Your OTP is 9194. Please do not share it with anyone.,safe
Your order #550 has been shipped.,safe
Your bank account ending with 4109 has been credited with $August.,safe
You received a prize of $1645. Visit http://bit.ly/7482 to claim it.,fraud
Win a new iPhone! Click 2019 to enter.,fraud
Urgent! Your credit card will be blocked. Action required: 2438,fraud
Congratulations! You won $595. Click here to claim: http://bit.ly/7529,fraud
Your account statement for 1101 is now available.,safe
Congratulations! You won $2082. Click here to claim: http://bit.ly/4393,fraud
You received a prize of $2878. Visit http://bit.ly/3274 to claim it.,fraud
Your bill of $8619 is due on September.,safe
You received a prize of $291. Visit http://bit.ly/2825 to claim it.,fraud
Your subscription for 7824 has been renewed.,safe
Congratulations! You won $1937. Click here to claim: http://bit.ly/3869,fraud
Your order #9362 has been shipped.,safe
Your account statement for 1346 is now available.,safe
Your bill of $1949 is due on August.,safe
You received a prize of $429. Visit http://bit.ly/9524 to claim it.,fraud
Your account statement for 8844 is now available.,safe
Thank you for your payment of $1551.,safe
Reminder: Your appointment is scheduled for 8008.,safe
Congratulations! You won $4603. Click here to claim: http://bit.ly/3740,fraud
You have an unpaid invoice of $3188. Pay now: http://bit.ly/9158,fraud
You have an unpaid invoice of $3997. Pay now: http://bit.ly/1672,fraud
Win a new iPhone! Click 2905 to enter.,fraud
Thank you for your payment of $4852.,safe
Congratulations! You won $1480. Click here to claim: http://bit.ly/3037,fraud
Reminder: Your appointment is scheduled for 8963.,safe
Your order #9967 has been shipped.,safe
Your account statement for 9404 is now available.,safe
Your account has been compromised. Verify now: 1619,fraud
Your bill of $191 is due on November.,safe
Payment of $1850 was successfully processed.,safe
Confirm your password immediately: 1244,fraud
Urgent! Your credit card will be blocked. Action required: 3457,fraud
You received a prize of $3709. Visit http://bit.ly/7030 to claim it.,fraud
Confirm your password immediately: 3496,fraud
Your account has been compromised. Verify now: 4327,fraud
You received a prize of $1566. Visit http://bit.ly/7316 to claim it.,fraud
Your bank account ending with 2692 has been credited with $December.,safe
Your account statement for 9859 is now available.,safe
Account suspension notice! Click 4666 to reactivate.,fraud
Your OTP is 3188. Please do not share it with anyone.,safe
Unauthorized login attempt detected. Verify your account: 3775,fraud
You received a prize of $1172. Visit http://bit.ly/5747 to claim it.,fraud
Confirm your password immediately: 2530,fraud
Confirm your password immediately: 3019,fraud
Congratulations! You won $4794. Click here to claim: http://bit.ly/2034,fraud
Congratulations! You won $1682. Click here to claim: http://bit.ly/1768,fraud
Urgent! Your credit card will be blocked. Action required: 2917,fraud
Thank you for your payment of $3993.,safe
Payment of $2000 was successfully processed.,safe
Your account has been compromised. Verify now: 2692,fraud
You have an unpaid invoice of $4346. Pay now: http://bit.ly/4121,fraud
Your bill of $8079 is due on August.,safe
Your subscription for 2362 has been renewed.,safe
Win a new iPhone! Click 362 to enter.,fraud
Unauthorized login attempt detected. Verify your account: 3517,fraud
You have an unpaid invoice of $1821. Pay now: http://bit.ly/5845,fraud
You received a prize of $4111. Visit http://bit.ly/5009 to claim it.,fraud
Payment of $133 was successfully processed.,safe
You are selected for a loan of $3764. Apply here: http://bit.ly/7349,fraud
You received a prize of $434. Visit http://bit.ly/1579 to claim it.,fraud
Your order #8348 has been shipped.,safe
Thank you for your payment of $2702.,safe
Your bill of $7079 is due on December.,safe
Your order #5771 has been shipped.,safe
Payment of $6633 was successfully processed.,safe
Your OTP is 4593. Please do not share it with anyone.,safe
Your bill of $3216 is due on December.,safe
You are selected for a loan of $1382. Apply here: http://bit.ly/2600,fraud
Confirm your password immediately: 3637,fraud
Your package with tracking number 1037 is in transit.,safe
Your subscription for 280 has been renewed.,safe
Reminder: Your appointment is scheduled for 971.,safe
Your order #1164 has been shipped.,safe
Your order #3215 has been shipped.,safe
You received a prize of $3801. Visit http://bit.ly/7161 to claim it.,fraud
Unauthorized login attempt detected. Verify your account: 4291,fraud
Unauthorized login attempt detected. Verify your account: 2386,fraud
Reminder: Your appointment is scheduled for 5009.,safe
Reminder: Your appointment is scheduled for 5093.,safe
Congratulations! You won $2936. Click here to claim: http://bit.ly/5991,fraud
You received a prize of $2829. Visit http://bit.ly/6522 to claim it.,fraud
You received a prize of $3264. Visit http://bit.ly/5454 to claim it.,fraud
Your bank account ending with 7867 has been credited with $October.,safe
Thank you for your payment of $5186.,safe
You have an unpaid invoice of $4517. Pay now: http://bit.ly/6785,fraud
Unauthorized login attempt detected. Verify your account: 2323,fraud
Thank you for your payment of $9885.,safe
Your bank account ending with 9116 has been credited with $December.,safe
You received a prize of $2910. Visit http://bit.ly/5297 to claim it.,fraud
Payment of $8870 was successfully processed.,safe
Account suspension notice! Click 4372 to reactivate.,fraud
Account suspension notice! Click 599 to reactivate.,fraud
Urgent! Your credit card will be blocked. Action required: 4029,fraud
Your account statement for 4614 is now available.,safe
Account suspension notice! Click 3803 to reactivate.,fraud
Unauthorized login attempt detected. Verify your account: 2696,fraud
Payment of $2268 was successfully processed.,safe
Your bank account ending with 5423 has been credited with $October.,safe
Your OTP is 2381. Please do not share it with anyone.,safe
Your OTP is 5003. Please do not share it with anyone.,safe
Thank you for your payment of $2521.,safe
Account suspension notice! Click 3905 to reactivate.,fraud
Your account has been compromised. Verify now: 1751,fraud
Your account has been compromised. Verify now: 1718,fraud
Account suspension notice! Click 3062 to reactivate.,fraud
Confirm your password immediately: 578,fraud
Your subscription for 4471 has been renewed.,safe
Thank you for your payment of $861.,safe
You have an unpaid invoice of $1900. Pay now: http://bit.ly/5940,fraud
Your OTP is 9510. Please do not share it with anyone.,safe
